,issueNumber,title,description,FIGDiagnostic,labels,dateMade
0,0,No Title Found,No Details Found,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
1,1,Fix bug when executing cd with no arguments,🎉,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
2,2,"Add ""How to uninstall Fig"" to the docs","HI,
I am not able to find how to uninstall Fig from my terminal.
What is the best way to uninstall it?
And please add it to the doc, https://docs.withfig.com/
Thanks.
EDIT
This link walks you through how to uninstall using the recommended method + manually if needed: #140
As noted, the links in the comments below are dead",No Fig Diagnostic Found,['None yet'],"Nov 5, 2020, 5:36 PM PST"
3,3,No Title Found,"👋 Welcome to Fig Discussions!
We’re using Discussions as a place to connect with other members of our community. We hope that you:
Ask questions you’re wondering about.
Share ideas.
Engage with other community members.
Welcome others and are open-minded. Remember that this is a community we
build together 💪.
To get started, comment below with an introduction of yourself and tell us about what you do with this community.",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
4,4,Windows?,Is there a way to use Fig on windows?,No Fig Diagnostic Found,['None yet'],"Dec 14, 2020, 3:04 AM PST"
5,5,cmd+delete leads to unexpected keybuffer state,"If I press cmd+backspace to delete the line before the cursor, it looks like the Fig context gets out of sync.
To repro, I can type cd then cmd+delete followed by cd and the second time the fig completion menu doesn't show up. The keybuffer context is cd cd instead of the expected cd",No Fig Diagnostic Found,['None yet'],"Dec 15, 2020, 11:18 AM PST"
6,6,Installation is confusing at the end of the process,"after I entered my personal email on the last screen of the install, the dialog saying I need to sign in with a work email stayed on screen for a good minute with no indication that anything was happening. No way to close it no way to move it. Eventually it closed but it was a confusing experience",No Fig Diagnostic Found,['None yet'],"Nov 13, 2020, 9:54 AM PST"
7,7,Keybuffer context is lost!,Keybuffer context is lost while working in root directories like /var/lib ... autocomplete doesn't work. After entering to new line it works but after starting with thevar directory it again loses the context,No Fig Diagnostic Found,['None yet'],"Dec 20, 2020, 2:39 AM PST"
8,8,Fig cwd doesn't update after whitelisting process,"I have whitelisted a process from PowerShell zsh theme!
Changing the directory in the terminal doesn't update the CWD for fig. results in incomplete are for /",No Fig Diagnostic Found,['None yet'],"Nov 14, 2020, 11:24 AM PST"
9,9,fig-cli OSX v10.13.6 installation issue,"Expected Behavior
Expect the CLI tool to install from .dmg installation package
Current Behavior
Currently getting the following error when trying to run any fig command:
dyld: Library not loaded: @path/libswiftCore.dylib Referenced from: /usr/local/bin/fig Reason image not found
I spoke to @mschrage and @falky97 thru the fig slack #bug channel. And was instructed to run the following command:
otool -L /usr/local/bin/fig
And this is the output:
/usr/local/bin/fig: /usr/lib/libz.1.dylib (compatibility version 1.0.0, current version 1.2.11) /System/Library/Frameworks/Foundation.framework/Versions/C/Foundation (compatibility version 300.0.0, current version 1673.126.0) /usr/lib/libobjc.A.dylib (compatibility version 1.0.0, current version 228.0.0) /usr/lib/libSystem.B.dylib (compatibility version 1.0.0, current version 1281.0.0) /System/Library/Frameworks/AppKit.framework/Versions/C/AppKit (compatibility version 45.0.0, current version 1894.10.126) /System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork (compatibility version 1.0.0, current version 0.0.0) /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation (compatibility version 150.0.0, current version 1673.126.0) /System/Library/Frameworks/Security.framework/Versions/A/Security (compatibility version 1.0.0, current version 59306.41.2) @rpath/libswiftCore.dylib (compatibility version 1.0.0, current version 1100.8.255) @rpath/libswiftCoreFoundation.dylib (compatibility version 1.0.0, current version 0.0.0) @rpath/libswiftDarwin.dylib (compatibility version 1.0.0, current version 0.0.0) @rpath/libswiftDispatch.dylib (compatibility version 1.0.0, current version 0.0.0) @rpath/libswiftFoundation.dylib (compatibility version 1.0.0, current version 0.0.0) @rpath/libswiftNetwork.dylib (compatibility version 1.0.0, current version 0.0.0) @rpath/libswiftObjectiveC.dylib (compatibility version 1.0.0, current version 0.0.0)
I am current on an older version of OSX 10.13.6, for some reason I think that may be related to the issue.",No Fig Diagnostic Found,['None yet'],"Oct 22, 2020, 5:39 PM PDT"
