,issueNumber,title,description,FIGDiagnostic,labels,dateMade
0,1600,No Title Found,"Description:
I need forward-char in ^F
but It's replaced to fig-open-workflows (by fig app?).
this config not found in fig settings > Shortcuts.
Details:
macOS Fig Shell
12.4.0 Version 1.0.58 (B467) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
1,1601,Fig still not working,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
OS Fig Shell
macOS 12.4.0 (21F79) 1.0.58 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Jul 6, 2022, 3:08 AM PDT"
2,1602,Fig not working -- doesn't store login correctly.,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Fig doesn't accept my login -- after I've logged in with my email, received a code and entered it, I get a Login Successful! output. However, no autocomplete pops up, and when I check fig doctor, my login seems to not have been properly stored as I get a response telling me that I am not logged in.
fig doctor output:
--> x Logged into Fig: Not logged in. Run fig login to login.
Details:
OS Fig Shell
macOS 12.4.0 (21F79) 1.0.58 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Jul 6, 2022, 9:20 AM PDT"
3,1603,zsh-autosuggestions.zsh:27: command not found: ^M,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
(base) ➜ ~ fig source
✅ Dotfiles sourced!
/Users/xxx/.local/share/fig/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh:27: command not found: ^M
/Users/xxx/.local/share/fig/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh:31: command not found: ^M
/Users/xxx/.local/share/fig/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh:35: command not found: ^M
/Users/xxx/.local/share/fig/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh:37: command not found: ^M
/Users/xxx/.local/share/fig/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh:39: command not found: ^M
/Users/xxx/.local/share/fig/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh:41: command not found: ^M
/Users/xxx/.local/share/fig/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh:152: parse error near `in^M'
Details:
macOS Fig Shell
13.0.0 Version 1.0.58 (B472) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Jul 7, 2022, 7:08 AM PDT"
4,1604,Fig not opening when pressing space,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Fig not opening when pressing space. https://share.cleanshot.com/gU5vj5
Details:
OS Fig Shell
macOS 11.6.7 (20G630) 1.0.58 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Jul 7, 2022, 1:06 PM PDT"
5,1605,can I unbind fig-open-workflows from ctrl+f ?,"Discussed in #1600
Originally posted by elzup July 6, 2022
Description:
I need forward-char in ^F
but It's replaced to fig-open-workflows (by fig app?).
this config not found in fig settings > Shortcuts.
Details:
macOS Fig Shell
12.4.0 Version 1.0.58 (B467) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['bug'],"Jul 7, 2022, 7:35 PM PDT"
6,1606,Fig intellisense is not popping up,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.3.0 Version 1.0.58 (B472) /bin/zsh
fig diagnostic",,['None yet'],"Jul 8, 2022, 8:01 AM PDT"
7,1607,Fig does not find options,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Screen.Recording.2022-07-08.at.14.35.25.mov
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.58 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Jul 8, 2022, 10:36 AM PDT"
8,1608,Fig suggestions for cd not working,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Fig suggestions do not show up for using cd to navigate between folders, but shows up for things like git or fig.
git example
cd example
Details:
OS Fig Shell
macOS 13.0.0 (22A5295h) 1.0.58 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Jul 8, 2022, 6:00 PM PDT"
9,1609,Secure keyboard input disabled: Secure keyboard input is on Secure keyboard process is ターミナル - com.apple.Terminal (via Settings),"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
OS Fig Shell
macOS 11.6.7 (20G630) 1.0.58 /usr/local/Cellar/fish/3.4.1/bin/fish
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Jul 10, 2022, 10:46 AM PDT"
